microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
gguS	3.A.1.2.22_Q8G3R1;3.A.1.2.5_P25548	K10546	putative multiple sugar transport system substrate-binding protein
gguP	3.A.1.2.22_Q8G3Q9;3.A.1.2.5_O05177	K10547	putative multiple sugar transport system permease protein
gguA	3.A.1.2.22_Q8G3R0;3.A.1.2.5_O05176	K10548	putative multiple sugar transport system ATP-binding protein
pbuG	2.A.40.7.2_O34987;2.A.40.7.4_P31440;2.A.40.7.5_P0AF52;2.A.40.7.6_P31466;2.A.40.7.7_Q46817	K06901	putative MFS transporter, AGZA family, xanthine/uracil permease
lysX1	3.A.1.3.20	K17073	putative lysine transport system substrate-binding protein
lysX2	3.A.1.3.20_Q9A1H0	K17074	putative lysine transport system permease protein
lysY	3.A.1.3.20_Q9A1H1	K17076	putative lysine transport system ATP-binding protein [EC:3.6.3.-]
tc_2.A.76.1.6	2.A.76.1.6_Q3J2V9	K16327	putative LysE/RhtB family amino acid efflux pump
peb1A	3.A.1.3.16_Q0P9X8	K10039	putative glutamine transport system substrate-binding protein
peb1B	3.A.1.3.16_A1VZQ3	K10040	putative glutamine transport system permease protein
peb1C	3.A.1.3.16_A3ZI83	K10041	putative glutamine transport system ATP-binding protein [EC:3.6.3.-]
uidC	1.B.25.1.5	K16140	putative glucuronide porin
mmpL10	2.A.6.5.13_P9WJU1;2.A.6.5.3_Q9KH53;2.A.6.5.7_O53735	K06994	putative drug exporter of the RND superfamily
chiE	3.A.1.1.40_Q9WZR7	K17244	putative chitobiose transport system substrate-binding protein
chiF	3.A.1.1.40	K17245	putative chitobiose transport system permease protein
chiG	3.A.1.1.40	K17246	putative chitobiose transport system permease protein
syrD	3.A.1.113.1	K06161	putative ATP-binding cassette transporter
pvdE	3.A.1.113.2	K06160	putative ATP-binding cassette transporter
yojI	3.A.1.113.3	K06159	putative ATP-binding cassette transporter
yuiF	2.A.8.1.12_O32105	K07084	putative amino acid transporter
lplA	3.A.1.1.9;3.A.1.1.291	K17318	putative aldouronate transport system substrate-binding protein
lplC	3.A.1.1.10_Q9KWT7	K17320	putative aldouronate transport system permease protein
lplB	3.A.1.1.10_Q9KWT8	K17319	putative aldouronate transport system permease protein
trpS	3.A.1.34.1_Q99ZY6	K01989	putative ABC transport system substrate-binding protein
devC	3.A.1.114.1_O50295	K02004	putative ABC transport system permease protein
trpP	3.A.1.34.1_Q99ZY4	K05832	putative ABC transport system permease protein
devA	3.A.1.114.1_O50296	K02003	putative ABC transport system ATP-binding protein
trpA	3.A.1.34.1_Q99ZY3	K05833	putative ABC transport system ATP-binding protein
yxjA	2.A.41.1.3_P42312	K16323	purine nucleoside transport protein
treEIIC	4.A.1.2.13_Q720G7;4.A.1.2.4_P36672;4.A.1.2.8_P39794	K02819	PTS system, trehalose-specific IIC component
treEIIB	4.A.1.2.13_Q720G7;4.A.1.2.4_P36672;4.A.1.2.8_P39794	K02818	PTS system, trehalose-specific IIB component [EC:2.7.1.69]
treEIIA	4.A.1.2.13_Q720G7;4.A.1.2.4_P36672;4.A.1.2.8_P39794	K02817	PTS system, trehalose-specific IIA component [EC:2.7.1.69]
scrEIIC	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	K02810	PTS system, sucrose-specific IIC component
scrEIIB	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	K02809	PTS system, sucrose-specific IIB component [EC:2.7.1.69]
scrEIIA	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	K02808	PTS system, sucrose-specific IIA component [EC:2.7.1.69]
sorEIID	4.A.6.1.3_P37083	K02815	PTS system, sorbose-specific IID component
sorEIIC	4.A.6.1.1_P69801;4.A.6.1.3_P37082	K02814	PTS system, sorbose-specific IIC component
sorEIIB	4.A.6.1.24_A1RZ66;4.A.6.1.3_P37081	K02813	PTS system, sorbose-specific IIB component [EC:2.7.1.69]
sorEIIA	4.A.6.1.3_P37080	K02812	PTS system, sorbose-specific IIA component [EC:2.7.1.69]
ntrEIIA		K02806	PTS system, nitrogen regulatory IIA component [EC:2.7.1.69]
murEIIC	4.A.1.2.7_P77272	K11192	PTS system, N-acetylmuramic acid-specific IIC component
murEIIB	4.A.1.2.7_P77272	K11191	PTS system, N-acetylmuramic acid-specific IIB component [EC:2.7.1.69]
nagEIIC	4.A.1.1.15_Q9HXN4;4.A.1.1.2_P09323;4.A.1.1.5_Q8GBT6;4.A.1.1.5_Q8GBT7;4.A.1.1.6_P39816;4.A.1.1.7_O34521	K02804	PTS system, N-acetylglucosamine-specific IIC component
nagEIIB	4.A.1.1.5_Q8GBT8	K02803	PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.69]
nagEIIA	4.A.1.1.2	K02802	PTS system, N-acetylglucosamine-specific IIA component [EC:2.7.1.69]
agaEIID	4.A.6.1.14_Q8DR74;4.A.6.1.20_H1XXZ1;4.A.6.1.4_Q9KIQ2	K02747	PTS system, N-acetylgalactosamine-specific IID component
agaEIIC	4.A.6.1.14_Q8DR75;4.A.6.1.4_Q9KIQ3;4.A.6.1.9_Q97N93	K02746	PTS system, N-acetylgalactosamine-specific IIC component
agaEIIB	4.A.6.1.14_Q8DR76;4.A.6.1.4_Q9KIQ4	K02745	PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.69]
agaEIIA	4.A.6.1.14_Q8DR78;4.A.6.1.23_C1A8G0	K02744	PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.69]
manEIID	4.A.6.1.10_Q04GJ9;4.A.6.1.11_D2BKY9;4.A.6.1.12_Q1CY69;4.A.6.1.13_B3WB11;4.A.6.1.15_E1UCI2;4.A.6.1.16_Q8Y8W1;4.A.6.1.18_B3W756;4.A.6.1.1_P69805;4.A.6.1.21_Q1K317;4.A.6.1.23_C1A8G3;4.A.6.1.24_A1RZ69;4.A.6.1.25_CAQ67971.1;4.A.6.1.25_CAQ67972.1;4.A.6.1.6_Q2QKM2;4.A.6.1.7_Q5M5W8;4.A.6.1.9_Q97N94;4.A.6.2.2_C8X4S8	K02796	PTS system, mannose-specific IID component
manEIIC	4.A.6.1.10_Q04GK0;4.A.6.1.11_D2BKY8;4.A.6.1.12_Q1CY68;4.A.6.1.13_B3WB10;4.A.6.1.15_E1UCI1;4.A.6.1.16_Q8Y8W0;4.A.6.1.18_B3W755;4.A.6.1.1_P69801;4.A.6.1.21_Q1K316;4.A.6.1.23_C1A8G2;4.A.6.1.25_CAQ67972.1;4.A.6.1.2_P26381;4.A.6.1.6_Q2QKM3;4.A.6.1.7_Q5M5W7;4.A.6.1.9_Q97N93;4.A.6.2.2_C8X382;4.A.6.4.1_D9QU69	K02795	PTS system, mannose-specific IIC component
manEIIB	4.A.6.1.10_Q04GK1;4.A.6.1.11_D2BKY7;4.A.6.1.12_Q1CY67;4.A.6.1.13_B3WB09;4.A.6.1.14_Q8DR78;4.A.6.1.15_E1UCI0;4.A.6.1.16_Q8Y8V8;4.A.6.1.16_Q8Y8V9;4.A.6.1.18_B3W754;4.A.6.1.1_P69797;4.A.6.1.20_H1XUM7;4.A.6.1.21_Q1K315;4.A.6.1.23_C1A8G1;4.A.6.1.24_A1RZ66;4.A.6.1.25_CAQ67973.1;4.A.6.1.2_P26379;4.A.6.1.6_Q2QKM4;4.A.6.1.7_Q5M5W6;4.A.6.1.9_Q97N92;4.A.6.2.2_C8X383	K02794	PTS system, mannose-specific IIB component [EC:2.7.1.69]
manEIIA	4.A.6.1.12_Q1CY66;4.A.6.1.14_Q8DR78;4.A.6.1.16_Q8Y8V8;4.A.6.1.18_B3W757;4.A.6.1.21_Q1K314;4.A.6.1.24_A1RZ67;4.A.6.1.25_CAQ67974.1;4.A.6.1.2_P26379;4.A.6.1.9_Q97N91;4.A.6.2.2_C8X384	K02793	PTS system, mannose-specific IIA component [EC:2.7.1.69]
mtlEIIC	4.A.2.1.12_Q9KKQ7;4.A.2.1.24_P69826;4.A.2.1.2_P00550;4.A.2.1.5_P42956	K02800	PTS system, mannitol-specific IIC component
mtlEIIB	4.A.2.1.2;4.A.2.1.5;4.A.2.1.12;4.A.2.1.24	K02799	PTS system, mannitol-specific IIB component [EC:2.7.1.69]
mtlEIIA	4.A.2.1.24_P69824;4.A.2.1.5_C0H3V2	K02798	PTS system, mannitol-specific IIA component [EC:2.7.1.69]
malglcEIIC	4.A.1.1.18_O51590;4.A.1.1.3_P19642	K02791	PTS system, maltose and glucose-specific IIC component
malglcEIIB	4.A.1.1.18_O51590;4.A.1.1.3_P19642	K02790	PTS system, maltose and glucose-specific IIB component [EC:2.7.1.69]
lacEIIC	4.A.3.1.1_P11162;4.A.3.1.2_Q045X3;4.A.3.1.3_Q045H3	K02788	PTS system, lactose-specific IIC component
lacEIIB	4.A.3.1.1;4.A.3.1.2;4.A.3.1.3	K02787	PTS system, lactose-specific IIB component [EC:2.7.1.69]
lacEIIA	4.A.3.1.1_P0A0D6;4.A.3.1.2_Q045X4;4.A.3.1.3_Q045H4	K02786	PTS system, lactose-specific IIA component [EC:2.7.1.69]
glc1EIIC	4.A.1.1.11_Q8DS05;4.A.1.1.12_Q48WG5;4.A.1.1.17_Q63GK8;4.A.1.1.18_O51590;4.A.1.1.1_P69786	K02779	PTS system, glucose-specific IIC component
glc1EIIB	4.A.1.1.1	K02778	PTS system, glucose-specific IIB component [EC:2.7.1.69]
glc1EIIA	4.A.1.1.1_P69783;4.A.3.2.5_Q8L3C4	K02777	PTS system, glucose-specific IIA component [EC:2.7.1.69]
gutEIIC	4.A.4.1.1_P56579;4.A.4.1.1_P56580;4.A.4.1.2_O32332;4.A.4.1.2_O32333	K02783	PTS system, glucitol/sorbitol-specific IIC component
gutEIIB	4.A.4.1	K02782	PTS system, glucitol/sorbitol-specific IIB component [EC:2.7.1.69]
gutEIIA	4.A.4.1.1_P05706;4.A.4.1.2_O32334	K02781	PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.69]
galEIIC	4.A.5	K20114	PTS system, galactose-specific IIC component
galEIIB	4.A.5	K20113	PTS system, galactose-specific IIB component [EC:2.7.1.204]
galEIIA	4.A.5	K20112	PTS system, galactose-specific IIA component [EC:2.7.1.204]
gamEIID	4.A.6.1.5_P42911	K10986	PTS system, galactosamine-specific IID component
gamEIIC	4.A.6.1.5_Q9KIP7	K10985	PTS system, galactosamine-specific IIC component
gamEIIB	4.A.6.1.5_P42909	K10984	PTS system, galactosamine-specific IIB component [EC:2.7.1.69]
gatEIIC	4.A.5.1.1_P69831;4.A.5.1.2_Q71WA6;4.A.5.1.4_Q8FCM4;4.A.5.1.5_D4GUQ0;4.A.5.1.6_C9MZ79	K02775	PTS system, galactitol-specific IIC component
gatEIIB	4.A.5.1.1_P37188;4.A.5.1.2_Q71WA5;4.A.5.1.4_Q8FCM5;4.A.5.1.5_D4GUQ1;4.A.5.1.6_C9MZ78	K02774	PTS system, galactitol-specific IIB component [EC:2.7.1.69]
gatEIIA	4.A.5.1.1_P69828;4.A.5.1.2_Q71WA4;4.A.5.1.4_Q8FCM6;4.A.5.1.5_D4GUP9;4.A.5.1.6_C9MZ76	K02773	PTS system, galactitol-specific IIA component [EC:2.7.1.69]
gfrEIID	4.A.6.1.19_V7RGM6	K19509	PTS system, fructoselysine and glucoselysine-specific IID component
gfrEIIC	4.A.6.1.19_V7RE14;4.A.6.1.22_T4NBW3;4.A.6.1.9_Q97N93	K19508	PTS system, fructoselysine and glucoselysine-specific IIC component
gfrEIIB	4.A.6.1.19_V7IFY8;4.A.6.1.23_C1A8G1	K19507	PTS system, fructoselysine and glucoselysine-specific IIB component [EC:2.7.1.69]
gfrEIIA	4.A.6.1.19_V7IHL6	K19506	PTS system, fructoselysine and glucoselysine-specific IIA component [EC:2.7.1.69]
levG	4.A.6.1.2_P26382	K02771	PTS system, fructose-specific IID component
fru2EIIC	4.A.2.1.25_P32154	K11203	PTS system, fructose-specific IIC-like component
fru1EIIC	4.A.2.1.13_Q0S1N2;4.A.2.1.14_D2RXA8;4.A.2.1.15_D4GYE5;4.A.2.1.16_Q9RMF5;4.A.2.1.17_Q9HY57;4.A.2.1.18_Q9RZP7;4.A.2.1.19_M7PF02;4.A.2.1.1_P20966;4.A.2.1.20_Q3K0G6;4.A.2.1.21_F8Y3B5;4.A.2.1.22_Q3JZE4;4.A.2.1.23_T5HN74;4.A.2.1.26_q5v5x5;4.A.2.1.4_P71012;4.A.2.1.6_O31645;4.A.2.1.7_Q1LZ59;4.A.2.1.8_Q8DWE7;4.A.2.1.9_Q1R4T1	K02770	PTS system, fructose-specific IIC component
levF	4.A.6.1.2_P26381	K11196	PTS system, fructose-specific IIC component
fru2EIIB	4.A.2.1	K11202	PTS system, fructose-specific IIB-like component [EC:2.7.1.69]
fru1EIIB	4.A.2.1.14_D2RXA4;4.A.2.1.15_D4GYE1;4.A.2.1.22_Q3JZE2;4.A.2.1.26_Q5V5X1;4.A.2.1.7_Q1LZ59;4.A.2.1.9_Q8FC73	K02769	PTS system, fructose-specific IIB component [EC:2.7.1.69]
levE	4.A.6.1.2_P26380	K11195	PTS system, fructose-specific IIB component [EC:2.7.1.69]
fru2EIIA	4.A.2.1.25_P32155	K11201	PTS system, fructose-specific IIA-like component [EC:2.7.1.69]
fru1EIIA	4.A.2.1.14_D2RXA7;4.A.2.1.15_D4GYE4;4.A.2.1.20_Q3K0G6;4.A.2.1.21_F8Y3B4;4.A.2.1.22_Q3JZE3;4.A.2.1.23_T5HNP5;4.A.2.1.25_P32155;4.A.2.1.26_Q5V5X4;4.A.2.1.7_Q1LZ59;4.A.2.1.8_Q1LZ68;4.A.2.1.9_Q1R4S9	K02768	PTS system, fructose-specific IIA component [EC:2.7.1.69]
levD	4.A.6.1.2_P26379	K11194	PTS system, fructose-specific IIA component [EC:2.7.1.69]
dglEIIC	4.A.1.1.13_Q57071;4.A.1.1.14_Q53922;4.A.1.1.6_P39816;4.A.1.1.9_P20166	K02765	PTS system, D-glucosamine-specific IIC component
dglEIIB	4.A.1.1.6	K02764	PTS system, D-glucosamine-specific IIB component [EC:2.7.1.69]
dglEIIA	4.A.1.1.6	K02763	PTS system, D-glucosamine-specific IIA component [EC:2.7.1.69]
dgaEIID	4.A.6.1.17_D0ZLR4	K17467	PTS system, D-glucosaminate-specific IID component
dgaEIIC	4.A.6.1.17_D0ZLR5	K17466	PTS system, D-glucosaminate-specific IIC component
dgaEIIB	4.A.6.1.17_D0ZLR6	K17465	PTS system, D-glucosaminate-specific IIB component [EC:2.7.1.69]
dgaEIIA	4.A.6.1.17_D0ZLR7	K17464	PTS system, D-glucosaminate-specific IIA component [EC:2.7.1.69]
celEIIC	4.A.3.2.1_P17334;4.A.3.2.3_O50980;4.A.3.2.5_Q8L3C2;4.A.3.2.6_Q9KSH4;4.A.3.2.7_C4X745;4.A.3.2.9_U5MFA1;4.A.3.2.2_P46317	K02761	PTS system, cellobiose-specific IIC component
celEIIB	4.A.3.2.1_P69795;4.A.3.2.3_O50982;4.A.3.2.5_Q8L3C3;4.A.3.2.6_Q9KSH5;4.A.3.2.7_C4X744;4.A.3.2.9_U5MIE1;4.A.3.2.2_P46318	K02760	PTS system, cellobiose-specific IIB component [EC:2.7.1.69]
celEIIA	4.A.3.2.1_P69791;4.A.3.2.3_O50981;4.A.3.2.6_Q9KSH3;4.A.3.2.7_C4X746;4.A.3.2.9_U5MLJ3;4.A.3.2.2_P46319	K02759	PTS system, cellobiose-specific IIA component [EC:2.7.1.69]
bglEIIC	4.A.1.2.11_P40739;4.A.1.2.14_ART98499;4.A.1.2.15_ART98417;4.A.1.2.2_P08722;4.A.1.2.5_Q8GGK3	K02757	PTS system, beta-glucosides-specific IIC component
bglEIIB		K02756	PTS system, beta-glucosides-specific IIB component [EC:2.7.1.69]
bglEIIA		K02755	PTS system, beta-glucosides-specific IIA component [EC:2.7.1.69]
ulaEIIC	4.A.7.1	K03475	PTS system, ascorbate-specific IIC component
ulaEIIB	4.A.7.1	K02822	PTS system, ascorbate-specific IIB component [EC:2.7.1.69]
ulaEIIA	4.A.2.1.24_P69824	K02821	PTS system, ascorbate-specific IIA component [EC:2.7.1.69]
glvEIIC	4.A.1.1.10_Q9AGA7;4.A.1.1.16_C7NB69;4.A.1.1.19_ART98514;4.A.1.1.4_O06900;4.A.1.1.8_P54715	K02750	PTS system, arbutin-like IIC component
glvEIIB	4.A.1.1.4;4.A.1.1.8;4.A.1.1.10;4.A.1.1.16;4.A.1.1.19	K02749	PTS system, arbutin-like IIB component [EC:2.7.1.69]
ascEIIC		K02753	PTS system, arbutin-, cellobiose-, and salicin-specific IIC component
ascEIIB		K02752	PTS system, arbutin-, cellobiose-, and salicin-specific IIB component [EC:2.7.1.69]
mngEIIC	4.A.2.1.3	K11200	PTS system, 2-O-A-mannosyl-D-glycerate-specific IIC component
mngEIIB	4.A.2.1.3	K11199	PTS system, 2-O-A-mannosyl-D-glycerate-specific IIB component [EC:2.7.1.69]
mngEIIA	4.A.2.1.3	K11198	PTS system, 2-O-A-mannosyl-D-glycerate-specific IIA component [EC:2.7.1.69]
dhaM		K05881	PTS hybrid protein
prs	2.7.6.1	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1] 
tc.pot	2.A.17.1.1_P0C2U2;2.A.17.1.2_P77304;2.A.17.1.3_P36837;2.A.17.1.6_Q5M4H8;2.A.17.4.7_Q8EKT7	K03305	proton-dependent oligopeptide transporter, POT family
gltP	2.A.23.1.1_P21345;2.A.23.1.2_P24943	K11102	proton glutamate symport protein
scpC	2.8.3.-	K22214	propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.-]
pcc7	6.4.1.3;2.1.3.15	K15052	propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15] 
pduW	2.7.2.15	K19697	propionate kinase [EC:2.7.2.15]
tdcD	2.7.2.15	K00932	propionate kinase [EC:2.7.2.15]
pct	2.8.3.1	K01026	propionate CoA-transferase [EC:2.8.3.1]
proY	2.A.3.1.23_P0AAE2;2.A.3.1.6_P37460	K11736	proline-specific permease ProY
gpmB	5.4.2.12	K15634	probable phosphoglycerate mutase [EC:5.4.2.12] 
gutA	2.A.2	K16248	probable glucitol transport protein GutA
ppgK	2.7.1.63	K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63] 
lctB	1.A.1.1	K08713	potassium channel LctB
oprB	1.B.19.1.1_Q51485;1.B.19.1.2_A4LTL1	K07267	porin
wza	1.B.18.2.2_Q27SU9;1.B.18.3.2_Q45407;1.B.18.3.4_F8KVN6;1.B.18.3.5_K9TEU5;1.B.18.3.7_B0RRH7	K01991	polysaccharide export outer membrane protein
vpsN	1.B.18	K20988	polysaccharide biosynthesis/export protein VpsN
vpsM	1.B.66.3.1;1.B.66.3.2	K20920	polysaccharide biosynthesis protein VpsM
ppk	2.7.4.1	K00937	polyphosphate kinase [EC:2.7.4.1]
ppk2	2.7.4.1	K22468	polyphosphate kinase [EC:2.7.4.1]
phbC	2.3.1.-	K03821	polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]
phaZ	3.1.1.75	K05973	poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
paa	2.A.56.3.1_P74223;3.A.1.3.15_P54535;3.A.1.3.15_P54536;3.A.1.3.23_Q9HU31;3.A.1.3.24_Q9F3K5;3.A.1.3.25_Q9CES5;3.A.1.3.27_Q8RCC4	K02030	polar amino acid transport system substrate-binding protein
pap	3.A.1.3.15_P54536;3.A.1.3.23_Q9HU29;3.A.1.3.23_Q9HU30;3.A.1.3.24_Q9F3K6	K02029	polar amino acid transport system permease protein
pas	3.A.1.3.15_P54537;3.A.1.3.23_Q9HU32;3.A.1.3.24_Q9F3K7;3.A.1.3.25_Q9CES4	K02028	polar amino acid transport system ATP-binding protein [EC:3.6.3.21]
pmm-pgm	5.4.2.8;5.4.2.2	K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2] 
pyk	2.7.1.40	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40] 
ptsP		K08484	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
ptsI	4.A.2.1.26_Q5V5X2	K08483	phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]
comA	4.4.1.19	K08097	phosphosulfolactate synthase [EC:4.4.1.19] 
psp	3.1.3.3	K22305	phosphoserine phosphatase [EC:3.1.3.3] 
thrH	3.1.3.3;2.7.1.39	K02203	phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39] 
prk	2.7.1.19	K00855	phosphoribulokinase [EC:2.7.1.19] 
phnD	3.A.1.9	K02044	phosphonate transport system substrate-binding protein
phnE	3.A.1.9	K02042	phosphonate transport system permease protein
phnC	3.A.1.9	K02041	phosphonate transport system ATP-binding protein [EC:3.6.3.28]
lhpP	3.6.1.1;3.1.3.-	K11725	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]
lhpp	3.6.1.1;3.1.3.-	K11725	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]
mlaD	3.A.1.27.3_P64604	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
mlaE	3.A.1.27.3_P64606	K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein
mlaF	3.A.1.27.3_P63386	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
mlaA	3.A.1.27.3_P76506	K04754	phospholipid-binding lipoprotein MlaA
mlaB	3.A.1.27.3_P64602	K07122	phospholipid transport system transporter-binding protein
mlaC	3.A.1.27.3_P0ADV7	K07323	phospholipid transport system substrate-binding protein
acpA	3.1.4.3	K01114	phospholipase C [EC:3.1.4.3]
pgk	2.7.2.3	K00927	phosphoglycerate kinase [EC:2.7.2.3] 
ppc	4.1.1.31	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31] 
pckA1	4.1.1.32	K01596	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
ptsO		K08485	phosphocarrier protein NPr
ptsH	8.A.8.1.1	K02784	phosphocarrier protein HPr
fruB	4.A.1.1.15_Q9HXN5;4.A.2.1.17_Q9HY55;4.A.2.1.19_M7QAG8;4.A.2.1.1_P69811	K11183	phosphocarrier protein FPr
hpr	4.A.1.1.15_Q9HXN5;4.A.2.1.19_M7QAG8;4.A.2.1.26_Q5V5X3	K11189	phosphocarrier protein
cysH	1.8.4.8;1.8.4.10	K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10] 
yjbB	2.A.58.2	K03324	phosphate:Na+ symporter
oprO_P	1.B.5.1	K07221	phosphate-selective porin OprO and OprP
pstS	3.A.1.7	K02040	phosphate transport system substrate-binding protein
pstA	3.A.1.7	K02038	phosphate transport system permease protein
pstC	3.A.1.7	K02037	phosphate transport system permease protein
pstB	3.A.1.7	K02036	phosphate transport system ATP-binding protein [EC:3.6.3.27]
ptb	2.3.1.19	K00634	phosphate butyryltransferase [EC:2.3.1.19]
pta2	2.3.1.8	K13788	phosphate acetyltransferase [EC:2.3.1.8]
pheP	2.A.3.1.1_P24207	K11732	phenylalanine-specific permease
pgm2	5.4.2.2;5.4.2.7	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7] 
pgm	5.4.2.2	K01835	pgm; phosphoglucomutase [EC:5.4.2.2] 
pgl_1	3.1.1.31	K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31] 
pgl_2	3.1.1.31	K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31] 
pgi_arch	5.3.1.9	K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9] 
pgi-pmi	5.3.1.9;5.3.1.8	K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8] 
pgd	1.1.1.44;1.1.1.343	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] 
gpmA	5.4.2.11	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] 
napA	1.7.99.-	K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-]
merP	1.A.72.1	K08364	periplasmic mercuric ion binding protein
ftrA	2.A.108.2.10;2.A.108.2.4;2.A.108.2.9	K07230	periplasmic iron binding protein
pepck	4.1.1.38	K20370	PEPCK; phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38] 
pdhB	1.2.4.1	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1] 
pdhA	1.2.4.1	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1] 
pdc	4.1.1.1	K01568	PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1] 
ykkC	2.A.7.1.5	K18924	paired small multidrug resistance pump
ykkD	2.A.7.1.5	K18925	paired small multidrug resistance pump
aaeB	2.A.85.1.2	K03468	p-hydroxybenzoic acid efflux pump subunit AaeB
oadG		K01573	oxaloacetate decarboxylase (Na+ extruding) subunit gamma
oadA	7.2.4.2	K01571	oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
oorD	1.2.7.10	K19072	oxalate oxidoreductase subunit delta [EC:1.2.7.10]
oorB	1.2.7.10	K19071	oxalate oxidoreductase subunit beta [EC:1.2.7.10]
oorA	1.2.7.10	K19070	oxalate oxidoreductase subunit alpha [EC:1.2.7.10]
fpvA	1.B.14.1.14_P25184;1.B.14.1.1_P16869	K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
cfrA	1.B.14.1.3_O54507;1.B.14.1.4_P17315	K16089	outer membrane receptor for ferrienterochelin and colicins
oprN	1.B.17	K18300	outer membrane protein, multidrug efflux system
opmD	1.B.17;2.A.6.2.32	K18308	outer membrane protein, multidrug efflux system
opmE	1.B.17;2.A.6.2.34	K19593	outer membrane protein, multidrug efflux system
adeC	1.B.17;2.A.6.2.40	K18147	outer membrane protein, multidrug efflux system
smeC	1.B.17;2.A.6.2.41	K18323	outer membrane protein, multidrug efflux system
ameC	1.B.17.3.1_P24145	K18904	outer membrane protein, multidrug efflux system
oprC	1.B.17.3.3	K18903	outer membrane protein, multidrug efflux system
mdtP	1.B.17.3.9	K15550	outer membrane protein, multidrug efflux system
adeK	2.A.6.2.5_Q51006;2.A.6.2.9_Q9WWZ8;2.A.6.2.23_Q6VV67	K18139	outer membrane protein, multidrug efflux system
cusC	1.B.17.3.4;1.B.17.3.5	K07796	outer membrane protein, Cu(I)/Ag(I) efflux system
czcC	1.B.17.2.2	K15725	outer membrane protein, cobalt-zinc-cadmium efflux system
porB1	1.B.2.2	K08719	outer membrane protein B
bamC	1.B.33.1	K07287	outer membrane protein assembly factor BamC
phoE	1.B.1.1.2	K11929	outer membrane pore protein E
hgdD	1.B.17.2.10_V5V5Z3;3.A.1.114.1_Q8YT39	K03287	outer membrane factor, OMF family
opuC	3.A.1.12.10_Q87WH3;3.A.1.12.11_Q8Q040;3.A.1.12.14_Q8ZPK2;3.A.1.12.15_P33362;3.A.1.12.4_O32243	K05845	osmoprotectant transport system substrate-binding protein
